,State Code,Occupation,Total Main Worker (Person)
596,14,Customer Services Clerks,959
597,14,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,88053
598,14,Personal and Protective Service Workers,35480
599,14,"Models, Sales Persons and Demonstrators",52573
600,14,SKILLED AGRICULTURAL AND FISHERY WORKERS,19636
601,14,Market Oriented Skilled Agricultural and Fishery Workers,19636
602,14,CRAFT AND RELATED TRADES WORKERS,54010
603,14,Extraction and Building Trades Workers,22168
604,14,"Metal, Machinery and Related Trades Workers",6686
605,14,"Precision, Handicraft, Printing and Related Trades Workers",3787
606,14,Other Craft and Related Trades Workers,21369
607,14,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,27670
608,14,Stationary Plant and Related Operators,751
609,14,Machine Operators and Assemblers,3707
610,14,Drivers and Mobile-Plant Operators,23212
611,14,ELEMENTARY OCCUPATIONS,27552
612,14,Sales and Services Elementary Occupations,6582
613,14,"Agricultural, Fishery and Related Labourers",924
614,14,"Labourers in Mining, Construction, Manufacturing and Transport",20046
615,14,WORKERS NOT CLASSIFIED BY OCCUPATIONS,86074
616,14,Workers Not Reporting Any Occupations,86074
617,15,TOTAL,180276
618,15,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11072
619,15,Legislators and Senior Officials,3179
620,15,Corporate Managers,7876
621,15,General Managers,17
622,15,PROFESSIONALS,14294
623,15,"Physical, Mathematical and Engineering Science Professionals",940
624,15,Life Science and Health Professionals,2243
625,15,Teaching Professionals,5493
626,15,Other Professionals,5618
627,15,TECHNICIANS AND ASSOCIATE PROFESSIONALS,27593
628,15,Physical and Engineering Science Associate Professionals,1890
629,15,Life Science and Health Associate Professionals,3499
630,15,Teaching Associate Professionals,16070
631,15,Other Associate Professionals,6134
632,15,CLERKS,9098
633,15,Office Clerks,8632
634,15,Customer Services Clerks,466
635,15,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,38835
636,15,Personal and Protective Service Workers,20379
637,15,"Models, Sales Persons and Demonstrators",18456
638,15,SKILLED AGRICULTURAL AND FISHERY WORKERS,7047
639,15,Market Oriented Skilled Agricultural and Fishery Workers,7046
640,15,Subsistence Agricultural and Fishery Workers,1
641,15,CRAFT AND RELATED TRADES WORKERS,15453
642,15,Extraction and Building Trades Workers,7215
643,15,"Metal, Machinery and Related Trades Workers",2912
644,15,"Precision, Handicraft, Printing and Related Trades Workers",451
645,15,Other Craft and Related Trades Workers,4875
646,15,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,14941
647,15,Stationary Plant and Related Operators,285
648,15,Machine Operators and Assemblers,880
649,15,Drivers and Mobile-Plant Operators,13776
650,15,ELEMENTARY OCCUPATIONS,21428
651,15,Sales and Services Elementary Occupations,5294
652,15,"Agricultural, Fishery and Related Labourers",330
653,15,"Labourers in Mining, Construction, Manufacturing and Transport",15804
654,15,WORKERS NOT CLASSIFIED BY OCCUPATIONS,20515
655,15,Workers Not Reporting Any Occupations,20515
656,16,TOTAL,609117
657,16,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11651
658,16,Legislators and Senior Officials,3106
659,16,Corporate Managers,8520
660,16,General Managers,25
661,16,PROFESSIONALS,38717
662,16,"Physical, Mathematical and Engineering Science Professionals",2943
663,16,Life Science and Health Professionals,4469
664,16,Teaching Professionals,20793
665,16,Other Professionals,10512
666,16,TECHNICIANS AND ASSOCIATE PROFESSIONALS,56079
667,16,Physical and Engineering Science Associate Professionals,1688
668,16,Life Science and Health Associate Professionals,11709
669,16,Teaching Associate Professionals,31493
670,16,Other Associate Professionals,11189
671,16,CLERKS,19015
672,16,Office Clerks,18352
673,16,Customer Services Clerks,663
674,16,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,142026
675,16,Personal and Protective Service Workers,48617
676,16,"Models, Sales Persons and Demonstrators",93409
677,16,SKILLED AGRICULTURAL AND FISHERY WORKERS,19886
678,16,Market Oriented Skilled Agricultural and Fishery Workers,19886
679,16,CRAFT AND RELATED TRADES WORKERS,81000
680,16,Extraction and Building Trades Workers,40991
681,16,"Metal, Machinery and Related Trades Workers",9140
682,16,"Precision, Handicraft, Printing and Related Trades Workers",18669
683,16,Other Craft and Related Trades Workers,12200
684,16,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,39776
685,16,Stationary Plant and Related Operators,2213
686,16,Machine Operators and Assemblers,3124
687,16,Drivers and Mobile-Plant Operators,34439
688,16,ELEMENTARY OCCUPATIONS,125974
689,16,Sales and Services Elementary Occupations,10669
690,16,"Agricultural, Fishery and Related Labourers",22511
691,16,"Labourers in Mining, Construction, Manufacturing and Transport",92794
692,16,WORKERS NOT CLASSIFIED BY OCCUPATIONS,74993
693,16,Workers Not Reporting Any Occupations,74993
694,17,TOTAL,383403
695,17,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11042
696,17,Legislators and Senior Officials,2858
697,17,Corporate Managers,8141
698,17,General Managers,43
699,17,PROFESSIONALS,24045
700,17,"Physical, Mathematical and Engineering Science Professionals",2159
701,17,Life Science and Health Professionals,2880
702,17,Teaching Professionals,9040
703,17,Other Professionals,9966
704,17,TECHNICIANS AND ASSOCIATE PROFESSIONALS,49073
705,17,Physical and Engineering Science Associate Professionals,2202
706,17,Life Science and Health Associate Professionals,7247
707,17,Teaching Associate Professionals,30582
708,17,Other Associate Professionals,9042
709,17,CLERKS,13456
710,17,Office Clerks,12472
711,17,Customer Services Clerks,984
712,17,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,75087
713,17,Personal and Protective Service Workers,24702
714,17,"Models, Sales Persons and Demonstrators",50385
715,17,SKILLED AGRICULTURAL AND FISHERY WORKERS,15639
716,17,Market Oriented Skilled Agricultural and Fishery Workers,15639
717,17,CRAFT AND RELATED TRADES WORKERS,30625
718,17,Extraction and Building Trades Workers,17967
719,17,"Metal, Machinery and Related Trades Workers",5213
720,17,"Precision, Handicraft, Printing and Related Trades Workers",1237
721,17,Other Craft and Related Trades Workers,6208
722,17,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,28647
723,17,Stationary Plant and Related Operators,1028
724,17,Machine Operators and Assemblers,1725
725,17,Drivers and Mobile-Plant Operators,25894
726,17,ELEMENTARY OCCUPATIONS,78723
727,17,Sales and Services Elementary Occupations,15465
728,17,"Agricultural, Fishery and Related Labourers",9362
729,17,"Labourers in Mining, Construction, Manufacturing and Transport",53896
730,17,WORKERS NOT CLASSIFIED BY OCCUPATIONS,57066
731,17,Workers Not Reporting Any Occupations,57066
732,18,TOTAL,4406211
733,18,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",91086
734,18,Legislators and Senior Officials,18769
735,18,Corporate Managers,71894
736,18,General Managers,423
737,18,PROFESSIONALS,238221
738,18,"Physical, Mathematical and Engineering Science Professionals",20674
739,18,Life Science and Health Professionals,23541
740,18,Teaching Professionals,100565
741,18,Other Professionals,93441
742,18,TECHNICIANS AND ASSOCIATE PROFESSIONALS,367192
743,18,Physical and Engineering Science Associate Professionals,13525
744,18,Life Science and Health Associate Professionals,87598
745,18,Teaching Associate Professionals,191953
746,18,Other Associate Professionals,74116
747,18,CLERKS,86096
748,18,Office Clerks,80950
749,18,Customer Services Clerks,5146
750,18,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,964160
751,18,Personal and Protective Service Workers,213755
752,18,"Models, Sales Persons and Demonstrators",750405
753,18,SKILLED AGRICULTURAL AND FISHERY WORKERS,125246
754,18,Market Oriented Skilled Agricultural and Fishery Workers,125244
755,18,Subsistence Agricultural and Fishery Workers,2
756,18,CRAFT AND RELATED TRADES WORKERS,474857
757,18,Extraction and Building Trades Workers,261952
758,18,"Metal, Machinery and Related Trades Workers",81041
759,18,"Precision, Handicraft, Printing and Related Trades Workers",40046
760,18,Other Craft and Related Trades Workers,91818
761,18,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,225583
762,18,Stationary Plant and Related Operators,8767
763,18,Machine Operators and Assemblers,25938
764,18,Drivers and Mobile-Plant Operators,190878
765,18,ELEMENTARY OCCUPATIONS,1260040
766,18,Sales and Services Elementary Occupations,92652
767,18,"Agricultural, Fishery and Related Labourers",683763
768,18,"Labourers in Mining, Construction, Manufacturing and Transport",483625
769,18,WORKERS NOT CLASSIFIED BY OCCUPATIONS,573730
770,18,Workers Not Reporting Any Occupations,573730
771,19,TOTAL,14102035
772,19,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",311023
773,19,Legislators and Senior Officials,26126
774,19,Corporate Managers,284035
775,19,General Managers,862
776,19,PROFESSIONALS,816871
777,19,"Physical, Mathematical and Engineering Science Professionals",87424
778,19,Life Science and Health Professionals,133520
779,19,Teaching Professionals,358602
780,19,Other Professionals,237325
781,19,TECHNICIANS AND ASSOCIATE PROFESSIONALS,821886
782,19,Physical and Engineering Science Associate Professionals,28849
783,19,Life Science and Health Associate Professionals,190488
784,19,Teaching Associate Professionals,367106
785,19,Other Associate Professionals,235443
786,19,CLERKS,278571
787,19,Office Clerks,256647
788,19,Customer Services Clerks,21924
789,19,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,3297996
790,19,Personal and Protective Service Workers,567023
791,19,"Models, Sales Persons and Demonstrators",2730973
792,19,SKILLED AGRICULTURAL AND FISHERY WORKERS,437591
793,19,Market Oriented Skilled Agricultural and Fishery Workers,437359
794,19,Subsistence Agricultural and Fishery Workers,232
795,19,CRAFT AND RELATED TRADES WORKERS,2901968
796,19,Extraction and Building Trades Workers,1074554
797,19,"Metal, Machinery and Related Trades Workers",303649
798,19,"Precision, Handicraft, Printing and Related Trades Workers",412179
799,19,Other Craft and Related Trades Workers,1111586
800,19,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,837146
801,19,Stationary Plant and Related Operators,64156
802,19,Machine Operators and Assemblers,247004
803,19,Drivers and Mobile-Plant Operators,525986
804,19,ELEMENTARY OCCUPATIONS,2483235
805,19,Sales and Services Elementary Occupations,671664
806,19,"Agricultural, Fishery and Related Labourers",173008
807,19,"Labourers in Mining, Construction, Manufacturing and Transport",1638563
808,19,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1915748
809,19,Workers Not Reporting Any Occupations,1915748
810,20,TOTAL,3331848
811,20,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",74465
812,20,Legislators and Senior Officials,16124
813,20,Corporate Managers,57838
814,20,General Managers,503
815,20,PROFESSIONALS,323574
816,20,"Physical, Mathematical and Engineering Science Professionals",59514
817,20,Life Science and Health Professionals,21381
818,20,Teaching Professionals,136618
819,20,Other Professionals,106061
820,20,TECHNICIANS AND ASSOCIATE PROFESSIONALS,230395
821,20,Physical and Engineering Science Associate Professionals,7192
822,20,Life Science and Health Associate Professionals,38096
823,20,Teaching Associate Professionals,81350
824,20,Other Associate Professionals,103757
825,20,CLERKS,80477
826,20,Office Clerks,75644
827,20,Customer Services Clerks,4833
828,20,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,645002
829,20,Personal and Protective Service Workers,210531
830,20,"Models, Sales Persons and Demonstrators",434471
831,20,SKILLED AGRICULTURAL AND FISHERY WORKERS,41662
832,20,Market Oriented Skilled Agricultural and Fishery Workers,41654
833,20,Subsistence Agricultural and Fishery Workers,8
834,20,CRAFT AND RELATED TRADES WORKERS,504281
835,20,Extraction and Building Trades Workers,199315
836,20,"Metal, Machinery and Related Trades Workers",116877
837,20,"Precision, Handicraft, Printing and Related Trades Workers",48389
838,20,Other Craft and Related Trades Workers,139700
839,20,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,242415
840,20,Stationary Plant and Related Operators,36367
841,20,Machine Operators and Assemblers,51825
842,20,Drivers and Mobile-Plant Operators,154223
843,20,ELEMENTARY OCCUPATIONS,828787
844,20,Sales and Services Elementary Occupations,158649
845,20,"Agricultural, Fishery and Related Labourers",7508
846,20,"Labourers in Mining, Construction, Manufacturing and Transport",662630
847,20,WORKERS NOT CLASSIFIED BY OCCUPATIONS,360790
848,20,Workers Not Reporting Any Occupations,360790
849,21,TOTAL,4567655
850,21,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",153224
851,21,Legislators and Senior Officials,24778
852,21,Corporate Managers,127439
853,21,General Managers,1007
854,21,PROFESSIONALS,300646
855,21,"Physical, Mathematical and Engineering Science Professionals",39895
856,21,Life Science and Health Professionals,30352
857,21,Teaching Professionals,109959
858,21,Other Professionals,120440
859,21,TECHNICIANS AND ASSOCIATE PROFESSIONALS,511329
860,21,Physical and Engineering Science Associate Professionals,41691
861,21,Life Science and Health Associate Professionals,101604
862,21,Teaching Associate Professionals,203954
863,21,Other Associate Professionals,164080
864,21,CLERKS,130353
865,21,Office Clerks,121161
866,21,Customer Services Clerks,9192
867,21,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,995395
868,21,Personal and Protective Service Workers,305845
869,21,"Models, Sales Persons and Demonstrators",689550
870,21,SKILLED AGRICULTURAL AND FISHERY WORKERS,189653
871,21,Market Oriented Skilled Agricultural and Fishery Workers,189476
872,21,Subsistence Agricultural and Fishery Workers,177
873,21,CRAFT AND RELATED TRADES WORKERS,550801
874,21,Extraction and Building Trades Workers,235464
875,21,"Metal, Machinery and Related Trades Workers",134616
876,21,"Precision, Handicraft, Printing and Related Trades Workers",52588
877,21,Other Craft and Related Trades Workers,128133
878,21,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,318688
879,21,Stationary Plant and Related Operators,14600
880,21,Machine Operators and Assemblers,52382
881,21,Drivers and Mobile-Plant Operators,251706
882,21,ELEMENTARY OCCUPATIONS,977140
883,21,Sales and Services Elementary Occupations,171219
884,21,"Agricultural, Fishery and Related Labourers",21911
885,21,"Labourers in Mining, Construction, Manufacturing and Transport",784010
886,21,WORKERS NOT CLASSIFIED BY OCCUPATIONS,440426
887,21,Workers Not Reporting Any Occupations,440426
888,22,TOTAL,2561591
889,22,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",94661
890,22,Legislators and Senior Officials,20984
891,22,Corporate Managers,71550
892,22,General Managers,2127
893,22,PROFESSIONALS,162630
894,22,"Physical, Mathematical and Engineering Science Professionals",38771
895,22,Life Science and Health Professionals,25186
896,22,Teaching Professionals,40309
897,22,Other Professionals,58364
898,22,TECHNICIANS AND ASSOCIATE PROFESSIONALS,285248
899,22,Physical and Engineering Science Associate Professionals,9382
900,22,Life Science and Health Associate Professionals,22567
901,22,Teaching Associate Professionals,176725
902,22,Other Associate Professionals,76574
903,22,CLERKS,85126
904,22,Office Clerks,80038
905,22,Customer Services Clerks,5088
906,22,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,592257
907,22,Personal and Protective Service Workers,267589
908,22,"Models, Sales Persons and Demonstrators",324668
909,22,SKILLED AGRICULTURAL AND FISHERY WORKERS,71347
910,22,Market Oriented Skilled Agricultural and Fishery Workers,71341
911,22,Subsistence Agricultural and Fishery Workers,6
912,22,CRAFT AND RELATED TRADES WORKERS,374883
913,22,Extraction and Building Trades Workers,138973
914,22,"Metal, Machinery and Related Trades Workers",123735
915,22,"Precision, Handicraft, Printing and Related Trades Workers",37070
916,22,Other Craft and Related Trades Workers,75105
917,22,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,247247
918,22,Stationary Plant and Related Operators,28305
919,22,Machine Operators and Assemblers,89578
920,22,Drivers and Mobile-Plant Operators,129364
921,22,ELEMENTARY OCCUPATIONS,565630
922,22,Sales and Services Elementary Occupations,141874
923,22,"Agricultural, Fishery and Related Labourers",7615
924,22,"Labourers in Mining, Construction, Manufacturing and Transport",416141
925,22,WORKERS NOT CLASSIFIED BY OCCUPATIONS,82562
926,22,Workers Not Reporting Any Occupations,82562
927,23,TOTAL,7212404
928,23,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",217673
929,23,Legislators and Senior Officials,37705
930,23,Corporate Managers,178110
931,23,General Managers,1858
932,23,PROFESSIONALS,314098
933,23,"Physical, Mathematical and Engineering Science Professionals",41290
934,23,Life Science and Health Professionals,60598
935,23,Teaching Professionals,57776
936,23,Other Professionals,154434
937,23,TECHNICIANS AND ASSOCIATE PROFESSIONALS,809974
938,23,Physical and Engineering Science Associate Professionals,60099
939,23,Life Science and Health Associate Professionals,157721
940,23,Teaching Associate Professionals,394564
941,23,Other Associate Professionals,197590
942,23,CLERKS,239779
943,23,Office Clerks,224602
944,23,Customer Services Clerks,15177
945,23,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1505140
946,23,Personal and Protective Service Workers,546937
947,23,"Models, Sales Persons and Demonstrators",958203
948,23,SKILLED AGRICULTURAL AND FISHERY WORKERS,213072
949,23,Market Oriented Skilled Agricultural and Fishery Workers,213054
950,23,Subsistence Agricultural and Fishery Workers,18
951,23,CRAFT AND RELATED TRADES WORKERS,1032242
952,23,Extraction and Building Trades Workers,314229
953,23,"Metal, Machinery and Related Trades Workers",255260
954,23,"Precision, Handicraft, Printing and Related Trades Workers",105718
955,23,Other Craft and Related Trades Workers,357035
956,23,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,537221
957,23,Stationary Plant and Related Operators,40117
958,23,Machine Operators and Assemblers,164380
959,23,Drivers and Mobile-Plant Operators,332724
960,23,ELEMENTARY OCCUPATIONS,1651728
961,23,Sales and Services Elementary Occupations,420490
962,23,"Agricultural, Fishery and Related Labourers",25565
963,23,"Labourers in Mining, Construction, Manufacturing and Transport",1205673
964,23,WORKERS NOT CLASSIFIED BY OCCUPATIONS,691477
965,23,Workers Not Reporting Any Occupations,691477
966,24,TOTAL,10876209
967,24,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",428647
968,24,Legislators and Senior Officials,16427
969,24,Corporate Managers,408200
970,24,General Managers,4020
971,24,PROFESSIONALS,402702
972,24,"Physical, Mathematical and Engineering Science Professionals",83020
973,24,Life Science and Health Professionals,51504
974,24,Teaching Professionals,121385
975,24,Other Professionals,146793
976,24,TECHNICIANS AND ASSOCIATE PROFESSIONALS,734027
977,24,Physical and Engineering Science Associate Professionals,61380
978,24,Life Science and Health Associate Professionals,101312
979,24,Teaching Associate Professionals,267908
980,24,Other Associate Professionals,303427
981,24,CLERKS,311001
982,24,Office Clerks,286678
983,24,Customer Services Clerks,24323
984,24,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1796305
985,24,Personal and Protective Service Workers,350308
986,24,"Models, Sales Persons and Demonstrators",1445997
987,24,SKILLED AGRICULTURAL AND FISHERY WORKERS,675783
988,24,Market Oriented Skilled Agricultural and Fishery Workers,675774
989,24,Subsistence Agricultural and Fishery Workers,9
990,24,CRAFT AND RELATED TRADES WORKERS,1691851
991,24,Extraction and Building Trades Workers,630723
992,24,"Metal, Machinery and Related Trades Workers",424737
993,24,"Precision, Handicraft, Printing and Related Trades Workers",122980
994,24,Other Craft and Related Trades Workers,513411
995,24,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1973777
996,24,Stationary Plant and Related Operators,138670
997,24,Machine Operators and Assemblers,1333794
998,24,Drivers and Mobile-Plant Operators,501313
999,24,ELEMENTARY OCCUPATIONS,1463127
1000,24,Sales and Services Elementary Occupations,501269
1001,24,"Agricultural, Fishery and Related Labourers",25884
1002,24,"Labourers in Mining, Construction, Manufacturing and Transport",935974
1003,24,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1398989
1004,24,Workers Not Reporting Any Occupations,1398989
1005,25,TOTAL,114616
1006,25,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3183
1007,25,Legislators and Senior Officials,96
1008,25,Corporate Managers,3063
1009,25,General Managers,24
1010,25,PROFESSIONALS,1991
1011,25,"Physical, Mathematical and Engineering Science Professionals",681
1012,25,Life Science and Health Professionals,187
1013,25,Teaching Professionals,541
1014,25,Other Professionals,582
1015,25,TECHNICIANS AND ASSOCIATE PROFESSIONALS,3264
1016,25,Physical and Engineering Science Associate Professionals,621
1017,25,Life Science and Health Associate Professionals,431
1018,25,Teaching Associate Professionals,960
1019,25,Other Associate Professionals,1252
1020,25,CLERKS,2346
1021,25,Office Clerks,2170
1022,25,Customer Services Clerks,176
1023,25,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,8984
1024,25,Personal and Protective Service Workers,3606
1025,25,"Models, Sales Persons and Demonstrators",5378
1026,25,SKILLED AGRICULTURAL AND FISHERY WORKERS,8289
1027,25,Market Oriented Skilled Agricultural and Fishery Workers,8289
1028,25,CRAFT AND RELATED TRADES WORKERS,12972
1029,25,Extraction and Building Trades Workers,3677
1030,25,"Metal, Machinery and Related Trades Workers",4508
1031,25,"Precision, Handicraft, Printing and Related Trades Workers",503
1032,25,Other Craft and Related Trades Workers,4284
1033,25,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,51348
1034,25,Stationary Plant and Related Operators,4936
1035,25,Machine Operators and Assemblers,40657
1036,25,Drivers and Mobile-Plant Operators,5755
1037,25,ELEMENTARY OCCUPATIONS,15771
1038,25,Sales and Services Elementary Occupations,4330
1039,25,"Agricultural, Fishery and Related Labourers",60
1040,25,"Labourers in Mining, Construction, Manufacturing and Transport",11381
1041,25,WORKERS NOT CLASSIFIED BY OCCUPATIONS,6468
1042,25,Workers Not Reporting Any Occupations,6468
1043,26,TOTAL,99696
1044,26,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4721
1045,26,Legislators and Senior Officials,142
1046,26,Corporate Managers,4438
1047,26,General Managers,141
1048,26,PROFESSIONALS,2728
1049,26,"Physical, Mathematical and Engineering Science Professionals",939
1050,26,Life Science and Health Professionals,261
1051,26,Teaching Professionals,594
1052,26,Other Professionals,934
1053,26,TECHNICIANS AND ASSOCIATE PROFESSIONALS,4861
1054,26,Physical and Engineering Science Associate Professionals,674
1055,26,Life Science and Health Associate Professionals,667
1056,26,Teaching Associate Professionals,1917
1057,26,Other Associate Professionals,1603
1058,26,CLERKS,1929
1059,26,Office Clerks,1815
1060,26,Customer Services Clerks,114
1061,26,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,8179
1062,26,Personal and Protective Service Workers,2777
1063,26,"Models, Sales Persons and Demonstrators",5402
1064,26,SKILLED AGRICULTURAL AND FISHERY WORKERS,1162
1065,26,Market Oriented Skilled Agricultural and Fishery Workers,1162
1066,26,CRAFT AND RELATED TRADES WORKERS,11470
1067,26,Extraction and Building Trades Workers,3182
1068,26,"Metal, Machinery and Related Trades Workers",3986
1069,26,"Precision, Handicraft, Printing and Related Trades Workers",155
1070,26,Other Craft and Related Trades Workers,4147
1071,26,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,33087
1072,26,Stationary Plant and Related Operators,2459
1073,26,Machine Operators and Assemblers,27134
1074,26,Drivers and Mobile-Plant Operators,3494
1075,26,ELEMENTARY OCCUPATIONS,16170
1076,26,Sales and Services Elementary Occupations,4171
1077,26,"Agricultural, Fishery and Related Labourers",121
1078,26,"Labourers in Mining, Construction, Manufacturing and Transport",11878
1079,26,WORKERS NOT CLASSIFIED BY OCCUPATIONS,15389
1080,26,Workers Not Reporting Any Occupations,15389
1081,27,TOTAL,20223737
1082,27,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",1800385
1083,27,Legislators and Senior Officials,48627
1084,27,Corporate Managers,1737518
1085,27,General Managers,14240
1086,27,PROFESSIONALS,1408181
1087,27,"Physical, Mathematical and Engineering Science Professionals",492973
1088,27,Life Science and Health Professionals,188272
1089,27,Teaching Professionals,237445
1090,27,Other Professionals,489491
1091,27,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1818136
1092,27,Physical and Engineering Science Associate Professionals,130873
1093,27,Life Science and Health Associate Professionals,297637
1094,27,Teaching Associate Professionals,677376
1095,27,Other Associate Professionals,712250
1096,27,CLERKS,1461342
1097,27,Office Clerks,1381340
1098,27,Customer Services Clerks,80002
1099,27,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2711260
1100,27,Personal and Protective Service Workers,1137371
1101,27,"Models, Sales Persons and Demonstrators",1573889
1102,27,SKILLED AGRICULTURAL AND FISHERY WORKERS,299428
1103,27,Market Oriented Skilled Agricultural and Fishery Workers,299332
1104,27,Subsistence Agricultural and Fishery Workers,96
1105,27,CRAFT AND RELATED TRADES WORKERS,3153396
1106,27,Extraction and Building Trades Workers,1105419
1107,27,"Metal, Machinery and Related Trades Workers",754347
1108,27,"Precision, Handicraft, Printing and Related Trades Workers",315896
1109,27,Other Craft and Related Trades Workers,977734
1110,27,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,2191197
1111,27,Stationary Plant and Related Operators,113636
1112,27,Machine Operators and Assemblers,713517
1113,27,Drivers and Mobile-Plant Operators,1364044
1114,27,ELEMENTARY OCCUPATIONS,3767898
1115,27,Sales and Services Elementary Occupations,1565524
1116,27,"Agricultural, Fishery and Related Labourers",3806
1117,27,"Labourers in Mining, Construction, Manufacturing and Transport",2198568
1118,27,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1612514
1119,27,Workers Not Reporting Any Occupations,1612514
1120,28,TOTAL,12582217
1121,28,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",431111
1122,28,Legislators and Senior Officials,104530
1123,28,Corporate Managers,321264
1124,28,General Managers,5317
1125,28,PROFESSIONALS,780806
1126,28,"Physical, Mathematical and Engineering Science Professionals",280593
1127,28,Life Science and Health Professionals,80681
1128,28,Teaching Professionals,189284
1129,28,Other Professionals,230248
1130,28,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1185639
1131,28,Physical and Engineering Science Associate Professionals,106845
1132,28,Life Science and Health Associate Professionals,200660
1133,28,Teaching Associate Professionals,487078
1134,28,Other Associate Professionals,391056
1135,28,CLERKS,673272
1136,28,Office Clerks,630931
1137,28,Customer Services Clerks,42341
1138,28,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2394436
1139,28,Personal and Protective Service Workers,698183
1140,28,"Models, Sales Persons and Demonstrators",1696253
1141,28,SKILLED AGRICULTURAL AND FISHERY WORKERS,416387
1142,28,Market Oriented Skilled Agricultural and Fishery Workers,416327
1143,28,Subsistence Agricultural and Fishery Workers,60
1144,28,CRAFT AND RELATED TRADES WORKERS,2257729
1145,28,Extraction and Building Trades Workers,991312
1146,28,"Metal, Machinery and Related Trades Workers",463512
1147,28,"Precision, Handicraft, Printing and Related Trades Workers",127867
1148,28,Other Craft and Related Trades Workers,675038
1149,28,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1219365
1150,28,Stationary Plant and Related Operators,99494
1151,28,Machine Operators and Assemblers,226012
1152,28,Drivers and Mobile-Plant Operators,893859
1153,28,ELEMENTARY OCCUPATIONS,2136548
1154,28,Sales and Services Elementary Occupations,615005
1155,28,"Agricultural, Fishery and Related Labourers",9252
1156,28,"Labourers in Mining, Construction, Manufacturing and Transport",1512291
1157,28,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1086924
1158,28,Workers Not Reporting Any Occupations,1086924
1159,29,TOTAL,11544053
1160,29,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",641479
1161,29,Legislators and Senior Officials,44484
1162,29,Corporate Managers,589863
1163,29,General Managers,7132
1164,29,PROFESSIONALS,916926
1165,29,"Physical, Mathematical and Engineering Science Professionals",418168
1166,29,Life Science and Health Professionals,79567
1167,29,Teaching Professionals,155315
1168,29,Other Professionals,263876
1169,29,TECHNICIANS AND ASSOCIATE PROFESSIONALS,866397
1170,29,Physical and Engineering Science Associate Professionals,71614
1171,29,Life Science and Health Associate Professionals,148780
1172,29,Teaching Associate Professionals,347206
1173,29,Other Associate Professionals,298797
1174,29,CLERKS,488286
1175,29,Office Clerks,442202
1176,29,Customer Services Clerks,46084
1177,29,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1914415
1178,29,Personal and Protective Service Workers,620242
1179,29,"Models, Sales Persons and Demonstrators",1294173
